Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
1114;Crane Valley;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;287.551;2016
1130;Finite Carbon - Lyme Brimstone Timberlands IFM;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;114.923;2015
1132;OHE DM4-3;Agriculture;Manure Methane Digester;North America;United States;NORTH CAROLINA;61.310;2014
1133;OHE DM2-1;Agriculture;Manure Methane Digester;North America;United States;NORTH CAROLINA;34.578;2014
1134;Finite Carbon - Brosnan Forest;Forestry & Land Use;Improved Forest Management;North America;United States;SOUTH CAROLINA;22.953;2016
1136;CalBio ORRD Project;Agriculture;Manure Methane Digester;North America;United States;CALIFORNIA;220.747;2017
1138;Sunnyside Farms COP;Agriculture;Manure Methane Digester;North America;United States;NEW YORK;288.742;2016
1139;Usal Redwood Forest - IFM;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;1.947.703;2015
1140;Willits Woods IFM;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;739.522;2015
1141;Van Eck Forest;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;50.337;2016
1145;Storms Hog Power, LLC;Agriculture;Manure Methane Digester;North America;United States;NORTH CAROLINA;92.344;2015
1147;Virginia Conservation Forestry Program - Tazewell - Elk Garden;Forestry & Land Use;Improved Forest Management;North America;United States;VIRGINIA;201.819;2016
1152;Aurora Ridge Dairy;Agriculture;Manure Methane Digester;North America;United States;NEW YORK;118.818;2014
1155;Maple Leaf Dairy West;Agriculture;Manure Methane Digester;North America;United States;WISCONSIN;64.438;2015
1156;Maple Leaf Dairy East;Agriculture;Manure Methane Digester;North America;United States;WISCONSIN;22.936;2015
1159;Virginia Conservation Forestry Program - Rich Mountain;Forestry & Land Use;Improved Forest Management;North America;United States;VIRGINIA;117.726;2016
1160;Virginia Conservation Forestry Program - Clifton Farm;Forestry & Land Use;Improved Forest Management;North America;United States;VIRGINIA;68.755;2016
1161;SIG Carbon– Northeast Wilderness Trust – Howland Research Forest;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;11.249;2017
1162;SIG Carbon - Northeast Wilderness Trust - Alder Stream Preserve;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;7.421;2017
1164;SPI Wildfire Reforestation Project #2;Forestry & Land Use;Afforestation/Reforestation;North America;United States;CALIFORNIA;0;
1165;SPI Wildfire Reforestation Project #3;Forestry & Land Use;Afforestation/Reforestation;North America;United States;CALIFORNIA;0;
1167;SPI Wildfire Reforestation Project #5;Forestry & Land Use;Afforestation/Reforestation;North America;United States;CALIFORNIA;0;
1173;Forest Carbon Partners - Berea College Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;KENTUCKY;349.292;2017
1174;Forest Carbon Partners -- Eddie Ranch Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;226.960;2017
1175;Finite Carbon - Passamaquoddy Tribe IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;4.015.098;2015
1180;Mailliard Ranch;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;984.645;2016
1183;Forest Carbon Partners - Mescalero Apache Tribe Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;NEW MEXICO;3.855.215;2016
1184;Spruce Haven Farm COP;Agriculture;Manure Methane Digester;North America;United States;NEW YORK;49.414;2016
1190;Greenwood Creek;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;408.964;2017
1191;Hollow Tree;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;981.045;2016
1197;Finite Carbon - Upper Hudson Woodlands ATP IFM;Forestry & Land Use;Improved Forest Management;North America;United States;NEW YORK;1.511.425;2017
1204;Finite Carbon - AMC Silver Lake IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;147.522;2017
1205;Finite Carbon - Lyme Logan IFM;Forestry & Land Use;Improved Forest Management;North America;United States;WEST VIRGINIA;2.854.646;2018
1206;Wapiti Woods I;Forestry & Land Use;Improved Forest Management;North America;United States;WEST VIRGINIA;260.576;2018
1208;Finite Carbon - Alma Land Company IFM;Forestry & Land Use;Improved Forest Management;North America;United States;KENTUCKY;672.605;2017
1209;Blue Source-Wolf River Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;WISCONSIN;552.634;2017
1213;Finite Carbon - MWF Adirondacks IFM;Forestry & Land Use;Improved Forest Management;North America;United States;NEW YORK;974.511;2017
1215;CF Ataya IFM;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;2.981.892;2017
1217;Finite Carbon - West Grand Lake IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MAINE;573.302;2015
1232;Yippee Farms;Agriculture;Manure Methane Digester;North America;United States;PENNSYLVANIA;31.532;2016
1233;Port of Tillamook Bay Regional Anaerobic Digester;Agriculture;Manure Methane Digester;North America;United States;OREGON;20.133;2016
1237;Raven's Nest Nature Preserve;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;COLORADO;13.954;2015
1238;Heartland Ranch Phase 1;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;COLORADO;42.496;2016
1246;Woodcrest Dairy Digester;Agriculture;Manure Methane Digester;North America;United States;NEW YORK;75.640;2017
1247;Bluesource - Carroll Avoided Grassland Conversion Project;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;MONTANA;68.353;2016
1257;Finite Carbon - Rowland IFM;Forestry & Land Use;Improved Forest Management;North America;United States;WEST VIRGINIA;1.884.718;2018
1259;Lightning Creek Ranch;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;OREGON;25.883;2017
1260;BNW West;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;OREGON;8.702;2017
1261;May Ranch Avoided Grassland Conversion;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;COLORADO;56.638;2016
1262;Captura de Carbono en San Juan Lachao, Oaxaca;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;OAXACA;45.942;2014
1264;Chugach Alaska Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALASKA;6.762.025;2018
1265;Verwey Hanford Dairy Digester;Agriculture;Manure Methane Digester;North America;United States;CALIFORNIA;338.616;2017
1275;Chaput Family Farms;Agriculture;Manure Methane Digester;North America;United States;VERMONT;17.016;2019
1281;Four Hills Farm;Agriculture;Manure Methane Digester;North America;United States;VERMONT;55.317;2019
1282;Captura de carbono en San Rafael Ixtapalucan;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;PUEBLA;22.948;2017
1284;BNW Ranch;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;OREGON;25.215;2017
1285;Conservación y Captura de Carbono Co2ltzingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;PUEBLA;37.532;2017
1291;Verwey Madera Dairy Digester;Agriculture;Manure Methane Digester;North America;United States;CALIFORNIA;80.170;2019
1292;Forest Carbon Partners - Seldovia Native Association Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALASKA;1.427.839;2019
1293;Forest Carbon Partners - English Bay Corporation Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALASKA;1.239.616;2019
1297;Finite Carbon - Sieben Live Stock IFM;Forestry & Land Use;Improved Forest Management;North America;United States;MONTANA;252.639;2019
1298;Adirondack Farms;Agriculture;Manure Methane Digester;North America;United States;NEW YORK;77.563;2019
1299;Heartland Ranch Phase 2;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;COLORADO;12.773;2018
1306;Proyecto Carbono Forestal, Ejido San Nicolás Totolapan, CDMX;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;DISTRITO FEDERAL;3.909;2017
1314;Finite Carbon - Spokane Tribe of Indians IFM;Forestry & Land Use;Improved Forest Management;North America;United States;WASHINGTON;1.409.512;2019
1315;West Star North Dairy;Agriculture;Manure Methane Digester;North America;United States;CALIFORNIA;155.845;2019
1316;Lakeview Farms Dairy;Agriculture;Manure Methane Digester;North America;United States;CALIFORNIA;131.111;2019
1317;CE&S Dairy;Agriculture;Manure Methane Digester;North America;United States;CALIFORNIA;162.660;2019
1318;A-Gas 2019-1;Chemical Processes;Ozone Depleting Substances Recovery & Destruction;North America;United States;OHIO;138.241;2018
1321;Remley Family Farms Anaerobic Digester;Agriculture;Manure Methane Digester;North America;United States;PENNSYLVANIA;17.450;2019
1324;AR-Joy Farm Dairy Digester;Agriculture;Manure Methane Digester;North America;United States;PENNSYLVANIA;7.119;2021
1325;Captura de Carbono Forestal Ejido San Lucas;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;STATE OF MÉXICO;9.177;2018
1328;Heartland Ranch Phase 3;Forestry & Land Use;Avoided Grassland Conversion;North America;United States;COLORADO;2.694;2018
1329;Forest Carbon Partners - Hunter Ranch Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;454.465;2019
1330;Monte Rio Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;218.629;2019
1332;Lubrecht Experimental Forest Carbon Project;Forestry & Land Use;Improved Forest Management;North America;United States;MONTANA;661.306;2019
1333;Captura de Carbono San Bartolo O2;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;STATE OF MÉXICO;13.662;2018
1335;Coffeyville NAP2;Chemical Processes;N2O Destruction in Nitric Acid Production;North America;United States;KANSAS;1.418.218;2019
1336;TCT Birmingham IFM Project;Forestry & Land Use;Improved Forest Management;North America;United States;ALABAMA;702.185;2019
1337;Two Fiets Digester;Agriculture;Manure Methane Digester;North America;United States;CALIFORNIA;39.631;2020
1339;Humboldt Mixed Forest Improvement Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;2.704.431;2019
