Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
1229;Fronteira and Novicel Ceramics Fuel Switching Project;Renewable Energy;Biomass;Latin America and the Caribbean;Brazil;;43.527;2011
1231;Mordogan Wind Power Project, Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;127.874;2016
1232;Yaylaköy Wind Power Project, Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;122.458;2016
1233;Reforestation with Rubber on degraded lands of Colombia;Forestry & Land Use;Afforestation/Reforestation;Latin America and the Caribbean;Colombia;;211.765;2012
1236;25 MW Solar PV Project in Gujarat;Renewable Energy;Solar - Centralized;Southern Asia;India;;239.325;2012
1238;AAC Blocks project by Mohit Industries Limited;Industrial & Commercial;Brick Manufacturing Emission Reductions;Southern Asia;India;;408.131;2013
124;Gansu Yumen Sanshilijingzi Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;149.370;2008
1240;Joburg Landfill Gas to Energy Project;Waste Management;Landfill Methane;Sub-Saharan Africa;South Africa;;845.725;2011
1241;Veer (NLBC) Small Hydro Power Project;Renewable Energy;Hydropower;Southern Asia;India;;88.170;2012
1242;Inner Mongolia Helin Shimenzi 49.5MW Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;370.074;2013
1247;CGN Aletai Qinghe Phase I 20MWp Grid-connected PV Power Plant Project;Renewable Energy;Solar - Centralized;Eastern Asia;China;;216.000;2012
1248;CGN Hami Phase I 20MWp Grid-connected PV Power Plant Project;Renewable Energy;Solar - Centralized;Eastern Asia;China;;254.709;2012
1249;CGN Kashi Yingjisha Phase I 20MWp Grid-connected PV Power Plant Project;Renewable Energy;Solar - Centralized;Eastern Asia;China;;192.440;2012
125;Taicang Waste Incineration Project;Waste Management;Waste Incineration;Eastern Asia;China;;92.039;2007
1250;CGN Dunhuang 10MW Grid-connected Solar PV Power Generation Project;Renewable Energy;Solar - Centralized;Eastern Asia;China;;159.356;2012
1251;Fuel Efficient Stoves in Zambia CPA 1;Household & Community;Cookstoves;Sub-Saharan Africa;Zambia;;48.895;2011
1254;Yelisirur wind power project, India;Renewable Energy;Wind;Southern Asia;India;;336.748;2012
1257;Wind Power Project of CLP Wind Farms (India) Private Limited;Renewable Energy;Wind;Southern Asia;India;;2.657.795;2012
1259;Chacayes Hydroelectric Project, Chile;Renewable Energy;Hydropower;Latin America and the Caribbean;Chile;;167.721;2012
1260;Zé Tunin Small Hydropower Plant Project;Renewable Energy;Hydropower;Latin America and the Caribbean;Brazil;;0;
1261;Grid connected electricity generation using natural gas by Lanco Kondapalli Power Limited;Industrial & Commercial;Natural Gas Electricity Generation;Southern Asia;India;;1.575.098;2010
128;Promotion of Low cost Irrigation Device in Eastern States of India;Agriculture;Improved Irrigation Management;Southern Asia;India;;247.682;2005
1284;Kandil Dam and Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1286;Ishasha 6.6 MW Small Hydropower Project;Renewable Energy;Hydropower;Sub-Saharan Africa;Uganda;;80.138;2015
1287;Kavsakbendi Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1288;Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-I;Renewable Energy;Wind;Southern Asia;India;;0;
1291;Hydro Power Project in backward district of Andhra Pradesh, India;Renewable Energy;Hydropower;Southern Asia;India;;1.528.208;2008
1293;14.4 MW Grid Connected Wind Power Project of Vaibhavlaxmi Clean Energy in Madhya Pradesh and Tamil Nadu, India;Renewable Energy;Wind;Southern Asia;India;;20.492;2012
1294;Electric Power Generation from Renewable Sources - Barra da Paciência, Ninho da Águia, Corrente Grande, Paiol, São Gonçalo and Várzea Alegre Small Hydropower Plants;Renewable Energy;Hydropower;Latin America and the Caribbean;Brazil;;106.863;2011
1296;Tuana 7.66 MW Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1297;Eren 37 MW Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;272.541;2014
130;Arrozal, GGP and Sul America Ceramics Fuel Switching Project;Renewable Energy;Biomass;Latin America and the Caribbean;Brazil;;123.808;2006
1300;Papart Large Scale Run-of-River Hydro Powerplant Project;Renewable Energy;Hydropower;Western Asia;Türkiye;;303.360;2012
1301;Guohua Rongcheng Phase II Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;714.746;2010
1304;Guohua Rongcheng Phase III Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;152.804;2010
1308;Parque Eolico Maldonado;Renewable Energy;RE Bundled;Latin America and the Caribbean;Uruguay;;729.418;2014
131;Sol Nascente Ceramic Fuel Switching Project;Renewable Energy;Biomass;Latin America and the Caribbean;Brazil;;78.171;2006
1310;Guohua Tongliao Kezuo Zhongqi Phase I 49.5 MW Wind Farm Project;Renewable Energy;Wind;Eastern Asia;China;;881.571;2009
1311;Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar;Forestry & Land Use;REDD+;Sub-Saharan Africa;Madagascar;;3.915.496;2011
1315;Biomass based cogeneration plant at Godrej Agrovet Ltd. Chintampalli;Renewable Energy;Biomass;Southern Asia;India;;304.082;2012
1317;Reforestation Grouped Project at Pratigi Environmental Protection Area;Forestry & Land Use;Afforestation/Reforestation;Latin America and the Caribbean;Brazil;;4.573;2016
1318;Livelihoods' mangrove restoration grouped project in Senegal;Forestry & Land Use;Wetland Restoration;Sub-Saharan Africa;Senegal;;509.816;2014
1319;Small-Scale Hydropower Project Sahanivotry In Madagascar.;Renewable Energy;Hydropower;Sub-Saharan Africa;Madagascar;;271.100;2008
132;9 MW Neria Hyrdroelectric project, Karnataka, India;Renewable Energy;Hydropower;Southern Asia;India;;129.963;2008
1322;Buyukduz Hydroelectric Power Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;364.219;2012
1324;Lighting up Africa;Renewable Energy;Solar Lighting;Sub-Saharan Africa;South Africa;;0;
1326;Laguna Seca Forest Carbon Project;Forestry & Land Use;REDD+;Latin America and the Caribbean;Belize;;2.065.750;2011
133;15 MW grid-connected wind power project by MMTC in Karnataka;Renewable Energy;Wind;Southern Asia;India;;173.466;2009
1330;Midilli Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;263.175;2012
1331;Torlar 14.834 MWe Hydroelectric power plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;123.393;2014
1333;Dagbasi Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1334;Yunnan Tengzhong New Energy Technology Co. Ltd. Biomass Heating System Retrofitting and Biomass Collection Station Project;Renewable Energy;Biomass;Eastern Asia;China;;1.723;2012
1336;Oylat Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1337;AAC blocks manufacturing unit based on an energy efficient brick/block manufacturing technology by Biltech Building Elements (surat);Industrial & Commercial;Brick Manufacturing Emission Reductions;Southern Asia;India;;92.164;2014
1338;AAC blocks manufacturing unit based on an energy efficient brick/block manufacturing technology by Biltech Building Elements (Budge-Budge);Industrial & Commercial;Brick Manufacturing Emission Reductions;Southern Asia;India;;168.199;2012
1342;AAC Block/Panel Manufacturing unit at Krishna, Andhra Pradesh;Industrial & Commercial;Brick Manufacturing Emission Reductions;Southern Asia;India;;185.615;2014
1343;Kuzuko Lodge Private Game Reserve thicket restoration project;Forestry & Land Use;Afforestation/Reforestation;Sub-Saharan Africa;South Africa;;0;
1345;Boyabat Hydroelectric Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;2.178.523;2012
1346;49.5 MW Wind Power Project by FFCEL in Pakistan;Renewable Energy;Wind;Southern Asia;Pakistan;;659.828;2013
1347;KSAIL Bagasse Power Project;Renewable Energy;Biomass;Sub-Saharan Africa;Kenya;;7.504;2016
1348;Las Pizarras Project;Renewable Energy;RE Bundled;Latin America and the Caribbean;Peru;;441.666;2013
135;Shangyi Manjing Windfarm Project;Renewable Energy;Wind;Eastern Asia;China;;184.738;2008
1351;Planting for the Future: Financially sustainable agroforestry systems and payments for ecosystem services;Forestry & Land Use;Afforestation/Reforestation;Latin America and the Caribbean;Peru;;0;
1352;Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA V1A);Renewable Energy;Wind;Southern Asia;India;;802.037;2008
1353;Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA-V2);Renewable Energy;Wind;Southern Asia;India;;4.145.050;2010
1354;Ball State University Campus-Wide Clean Energy and Efficiency Project;Industrial & Commercial;University Campus Emission Reductions;North America;United States;;293.060;2012
1355;4.2 MW renewable energy based power generation project in Andhra Pradesh by Hi- Tech;Renewable Energy;RE Bundled;Southern Asia;India;;46.035;2014
1356;Jiangsu Dongtai Phase II Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;1.798.024;2010
1357;Waste Heat Recovery by Redesigning Skids at Reheat Furnace #2 of Erdemir;Industrial & Commercial;Waste Heat Recovery;Western Asia;Türkiye;;0;
1358;Erdemir Sub-project # 6:Continuous Annealing Line (CAL) Waste Heat Recovery Boiler (WHRB);Industrial & Commercial;Waste Heat Recovery;Western Asia;Türkiye;;0;
1360;Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region;Forestry & Land Use;REDD+;Latin America and the Caribbean;Peru;;2.557.396;2011
