Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
6520;GS1247 VPA 144 Manicaland Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Zimbabwe;;28.581;2018
6521;GS1247 VPA 145 Manicaland Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Zimbabwe;;28.487;2018
6522;GS1247 VPA 146 Manicaland Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Zimbabwe;;32.535;2018
6523;GS1247 VPA 147 Manicaland Safe Water;Household & Community;Community Boreholes;Sub-Saharan Africa;Zimbabwe;;28.488;2018
653;Söke-Çatalbük 30 MW Wind Power Project Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;82.525;2012
655;Soma Wind Power Plant;Renewable Energy;Wind;Western Asia;Türkiye;;603.688;2010
6566;Corum Solar Power Plant Project;Renewable Energy;Solar - Centralized;Western Asia;Türkiye;;38.090;2017
6586;Solar thermal power plant by Godawari Green Energy Limited (GS3429 CER to VER conversion);Renewable Energy;Solar - Centralized;Southern Asia;India;;16.806;2013
6588;Sustainable Agroforestry Based Dairy Value Chain in Mount Elgon Kenya;Agriculture;Sustainable Agriculture;Sub-Saharan Africa;Kenya;;49.065;2018
659;UPOIC Wastewater Treatment for Energy Generation Krabi;Waste Management;Methane Recovery in Wastewater;South-Eastern Asia;Thailand;;9.746;2014
6597;Promoting Clean Cooking Solutions for the Disadvantaged Households in Nepal;Household & Community;Cookstoves;Southern Asia;Nepal;;89.850;2017
6598;Water for Climate Rwanda Project;Household & Community;Clean Water;Sub-Saharan Africa;Rwanda;;61.210;2019
6599;GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 009;Household & Community;Cookstoves;South-Eastern Asia;Myanmar;;26.075;2018
660;Lam Soon Wastewater Treatment for Energy Generation Trang;Waste Management;Methane Recovery in Wastewater;South-Eastern Asia;Thailand;;1.892;2014
6600;GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 010;Household & Community;Cookstoves;South-Eastern Asia;Myanmar;;30.258;2018
6604;Energy efficiency improvement project leading to multiple sustainable development impacts.;Household & Community;Cookstoves;Sub-Saharan Africa;Uganda;;124.469;2017
6607;Biomass based power project of VPL;Renewable Energy;Biomass;Southern Asia;India;;213.685;2017
662;Blue Fire Bio wastewater treatment and biogas utilisation project (300147);Waste Management;Methane Recovery in Wastewater;South-Eastern Asia;Thailand;;51.054;2013
663;ARALIK HEPP;Renewable Energy;Hydropower;Western Asia;Türkiye;;77.956;2010
666;Installation of Biogas Plant by INSEDA Members & Partners;Household & Community;Biodigesters;Southern Asia;India;;228.805;2009
670;Kolar Biogas Project;Household & Community;Biodigesters;Southern Asia;India;;398.088;2012
671;Biomass Briquette Based Earth Stove Project;Household & Community;Cookstoves;Southern Asia;India;;901;2009
672;Düzova Wind Power Project Turkey;Renewable Energy;Wind;Western Asia;Türkiye;;829.291;2009
6747;52.50 MW Wind energy farm at Mokla Rajasthan by HZL;Renewable Energy;Wind;Southern Asia;India;;365.994;2017
6748;25.5 MW Wind Energy Farm at Nandurbar Maharashtra by HZL;Renewable Energy;Wind;Southern Asia;India;;351.512;2017
6749;GS5658 VPA 4: Resilience with Safe Drinking Water in Drought Prone Areas of Bale Zone in Oromia (Ethiopia);Household & Community;Clean Water;Sub-Saharan Africa;Ethiopia;;23.977;2018
675;Sincan Landfill Gas Collection and Energy Utilization Project Turkey;Waste Management;Landfill Methane;Western Asia;Türkiye;;412.116;2011
